trip_id,start_date,subscriber_type,start_station_name,start_station_id,landmark,name,station_id
1075615,2016-01-29 02:55:00.000000 UTC,Subscriber,Sequoia Hospital,21,Redwood City,Franklin at Maple,21
1077375,2016-02-01 07:58:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,Redwood City,Redwood City Caltrain Station,22
1063239,2016-01-16 18:11:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,Redwood City,Redwood City Caltrain Station,22
1101147,2016-02-22 15:05:00.000000 UTC,Subscriber,Redwood City Caltrain Station,22,Redwood City,Redwood City Caltrain Station,22
1094674,2016-02-16 12:19:00.000000 UTC,Subscriber,San Mateo County Center,23,Redwood City,San Mateo County Center,23
1098960,2016-02-19 15:01:00.000000 UTC,Subscriber,San Mateo County Center,23,Redwood City,San Mateo County Center,23
1067095,2016-01-21 10:43:00.000000 UTC,Subscriber,Redwood City Public Library,24,Redwood City,Redwood City Public Library,24
1096574,2016-02-17 17:12:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1099132,2016-02-19 17:10:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1091997,2016-02-12 17:08:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1097828,2016-02-18 17:07:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1073523,2016-01-27 17:04:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1104577,2016-02-24 17:09:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1058776,2016-01-12 17:06:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
1064629,2016-01-19 17:05:00.000000 UTC,Subscriber,Stanford in Redwood City,25,Redwood City,Stanford in Redwood City,25
